iter	Logloss
0	0.612609636
5	0.3539012565
10	0.2393697162
15	0.1839915599
20	0.1571209575
25	0.142589004
30	0.1346238405
35	0.1299403894
40	0.127115524
45	0.1250596803
50	0.1238008856
55	0.1228371398
60	0.1219160654
65	0.1213427426
70	0.1207216547
75	0.1201887034
80	0.1197630155
85	0.1193352615
90	0.1190169278
95	0.1186929549
100	0.1184046367
105	0.1181314563
110	0.1178769349
115	0.1176751031
120	0.1174451399
125	0.1172500259
130	0.1170724144
135	0.1168681268
140	0.1167077451
145	0.1165660223
150	0.1163946999
155	0.1162247677
160	0.1161054852
165	0.1159806413
170	0.1158759897
175	0.1157685704
180	0.1156670633
185	0.1155718452
190	0.1154868791
195	0.1153914401
200	0.1153038493
205	0.1152023422
210	0.115138374
215	0.1150716901
220	0.1149672204
225	0.1148956899
230	0.1148183901
235	0.1147581251
240	0.1146989257
245	0.1146394923
250	0.1145719378
255	0.114507112
260	0.1144439625
265	0.1143923903
270	0.1143548514
275	0.1143144408
280	0.1142555662
285	0.1142080611
290	0.1141695217
295	0.114116988
300	0.1140690151
305	0.1140258888
310	0.1139909487
315	0.1139513697
320	0.113905229
325	0.1138591791
330	0.1138150394
335	0.1137794755
340	0.1137469392
345	0.1136827111
350	0.1136344524
355	0.1136065548
360	0.1135742264
365	0.1135415861
370	0.1134865966
375	0.1134488238
380	0.1134190031
385	0.1133820879
390	0.1133372335
395	0.1133041905
400	0.113271836
405	0.1132480055
410	0.1132222779
415	0.1131862593
420	0.1131641439
425	0.1131229278
430	0.1130922495
435	0.1130660801
440	0.1130341285
445	0.11299785
450	0.1129627409
455	0.1129321536
460	0.1129009037
465	0.1128468108
470	0.1128157817
475	0.1127874553
480	0.1127578426
485	0.1127357013
490	0.1127193422
495	0.1126940693
500	0.1126709145
505	0.1126493579
510	0.1126090773
515	0.1125921984
520	0.1125645737
525	0.1125256315
530	0.1125052053
535	0.1124897817
540	0.1124744621
545	0.1124474221
550	0.1124070506
555	0.112385364
560	0.1123697585
565	0.1123488516
570	0.1123281006
575	0.1123135736
580	0.1122975003
585	0.1122728902
590	0.1122461751
595	0.1122202006
600	0.1121897822
605	0.1121687973
610	0.1121384439
615	0.1121137558
620	0.11209689
625	0.1120733973
630	0.1120476177
635	0.1120316614
640	0.1120082726
645	0.111984728
650	0.1119691745
655	0.1119449022
660	0.1119249958
665	0.1119112224
670	0.1118956689
675	0.1118774387
680	0.1118488264
685	0.111833091
690	0.1118173166
695	0.1118003468
700	0.1117652117
705	0.1117401338
710	0.1117299207
715	0.1117153158
720	0.1116983199
725	0.1116802197
730	0.1116615347
735	0.1116458122
740	0.1116243206
745	0.1116023612
750	0.1115838971
755	0.1115713321
760	0.1115498145
765	0.111529947
770	0.1115163816
775	0.1114952927
780	0.1114763609
785	0.1114535049
790	0.111442902
795	0.1114286608
800	0.1114122627
805	0.1113912648
810	0.1113762701
815	0.1113611713
820	0.1113426033
825	0.111324399
830	0.1113113403
835	0.1112971382
840	0.1112840145
845	0.1112646148
850	0.1112484246
855	0.1112407583
860	0.111218513
865	0.1112063769
870	0.1111844175
875	0.1111615095
880	0.111143955
885	0.111123165
890	0.1111092487
895	0.1110862627
900	0.1110674998
905	0.1110594437
910	0.1110426817
915	0.1110280118
920	0.1110127312
925	0.1109889916
930	0.1109688773
935	0.1109539995
940	0.1109371076
945	0.110925829
950	0.1109081575
955	0.1108934616
960	0.1108790516
965	0.1108609123
970	0.1108391868
975	0.1108235683
980	0.1108057539
985	0.1107876406
990	0.1107693844
995	0.1107546495
999	0.110736913
