iter	Logloss
0	0.6124153441
1	0.5464160843
2	0.4889183223
3	0.4387064126
4	0.3958843488
5	0.3586276465
6	0.3281099093
7	0.3018706778
8	0.2790804162
9	0.25893161
10	0.2425472045
11	0.227803928
12	0.2160418783
13	0.2052668531
14	0.1959599088
15	0.1876790985
16	0.1805955073
17	0.1742696699
18	0.1688562972
19	0.1638679302
20	0.1595552007
21	0.1557984551
22	0.1522791365
23	0.1492637256
24	0.1466192429
25	0.1444236114
26	0.1422028276
27	0.140387958
28	0.1386740716
29	0.1372794545
30	0.1360321332
31	0.1349190696
32	0.1339202135
33	0.1330047834
34	0.1321477394
35	0.1313832769
36	0.1306733853
37	0.1299788459
38	0.1294165888
39	0.1288963048
40	0.1283904744
41	0.1279559792
42	0.1275097093
43	0.1270995197
44	0.1267245493
45	0.1263977566
46	0.1260595879
47	0.1257706389
48	0.1255067292
49	0.1252361386
50	0.1249327405
51	0.1246638294
52	0.1244019929
53	0.1241683391
54	0.1239876439
55	0.1237462611
56	0.1235616789
57	0.1233982108
58	0.1232451481
59	0.1230970733
60	0.122944584
61	0.1227774028
62	0.1226363817
63	0.1224756253
64	0.1223291863
65	0.1222014284
66	0.1220673221
67	0.1219288731
68	0.1217976773
69	0.121660587
70	0.1215560356
71	0.1214496228
72	0.121321299
73	0.1212133787
74	0.1211229724
75	0.1210350731
76	0.1209448087
77	0.1208450491
78	0.1207681502
79	0.1206927808
80	0.1205931185
81	0.1205243983
82	0.120419558
83	0.1203370642
84	0.1202485919
85	0.1201708254
86	0.1200929035
87	0.1200376286
88	0.1199690805
89	0.1198837981
90	0.119802013
91	0.1197445433
92	0.119678371
93	0.1196014395
94	0.1195319521
95	0.1194642439
96	0.1193891594
97	0.1193097162
98	0.1192536368
99	0.1192094752
100	0.1191563612
101	0.119082767
102	0.119003623
103	0.118946143
104	0.1188895888
105	0.1188342849
106	0.1187821939
107	0.118732644
108	0.1186698162
109	0.1186038441
110	0.118568174
111	0.1185170547
112	0.118462897
113	0.1184009921
114	0.1183526126
115	0.1183045646
116	0.1182652066
117	0.1182296828
118	0.1181933473
119	0.1181578477
120	0.1181065676
121	0.1180628667
122	0.1180228134
123	0.117987028
124	0.1179249882
125	0.1178836945
126	0.1178473603
127	0.1178098211
128	0.1177682647
129	0.1177193443
130	0.1176722628
131	0.117635147
132	0.1175895789
133	0.1175549829
134	0.117518842
135	0.1174881029
136	0.1174451926
137	0.1174082164
138	0.1173645497
139	0.1173138205
140	0.1172693109
141	0.1172276787
142	0.1171805834
143	0.1171559791
144	0.1171373413
145	0.1170997343
146	0.1170622822
147	0.1170181665
148	0.1169908146
149	0.1169655925
150	0.1169329948
151	0.1168929187
152	0.1168508385
153	0.1168045848
154	0.1167853403
155	0.1167519294
156	0.1167141922
157	0.1166873073
158	0.116647552
159	0.1166156284
160	0.1165906997
161	0.1165516286
162	0.1165123339
163	0.1164720183
164	0.1164327235
165	0.1163945201
166	0.1163679424
167	0.1163284934
168	0.1163056243
169	0.1162869678
170	0.1162672363
171	0.1162465704
172	0.11622846
173	0.116208209
174	0.1161852502
175	0.1161524588
176	0.1161284638
177	0.1161098106
178	0.1160737574
179	0.1160540928
180	0.1160276506
181	0.1160014427
182	0.1159786768
183	0.1159438296
184	0.1159134519
185	0.1158984232
186	0.1158778193
187	0.1158605339
188	0.1158429802
189	0.115823391
190	0.1157983891
191	0.1157659884
192	0.1157453703
193	0.1157196203
194	0.1157004266
195	0.1156775682
196	0.1156559253
197	0.1156330436
198	0.1156192703
199	0.1155955538
200	0.1155736885
201	0.1155493086
202	0.1155267792
203	0.1155018955
204	0.1154873851
205	0.1154595839
206	0.1154378193
207	0.1154214791
208	0.1153958533
209	0.1153809204
210	0.1153567453
211	0.1153359349
212	0.1153097141
213	0.1152886851
214	0.115270481
215	0.1152476852
216	0.1152365929
217	0.1152126015
218	0.1151914832
219	0.1151726156
220	0.1151478909
221	0.1151282396
222	0.1151098022
223	0.115095482
224	0.1150685713
225	0.1150481801
226	0.1150224873
227	0.1150056686
228	0.1149904698
229	0.1149746049
230	0.1149643674
231	0.1149433149
232	0.1149310199
233	0.1149155271
234	0.1148989211
235	0.1148805143
236	0.1148661865
237	0.1148543345
238	0.1148366304
239	0.1148200859
240	0.114810163
241	0.1147951327
242	0.1147732995
243	0.1147561023
244	0.1147405252
245	0.1147282795
246	0.1147129218
247	0.1146994509
248	0.1146862933
249	0.1146645582
250	0.1146433047
251	0.1146323156
252	0.1146162413
253	0.1146009993
254	0.114585618
255	0.1145721427
256	0.1145576788
257	0.1145448306
258	0.1145297373
259	0.1145089058
260	0.1144959985
261	0.1144822617
262	0.1144660471
263	0.1144410534
264	0.1144262234
265	0.1144118426
266	0.1143959394
267	0.1143784106
268	0.1143621722
269	0.1143443842
270	0.1143257547
271	0.1143176439
272	0.1143025995
273	0.1142900587
274	0.1142774523
275	0.11426144
276	0.1142396059
277	0.1142256576
278	0.114213833
279	0.1141971341
280	0.1141860427
281	0.1141758342
282	0.1141642688
283	0.1141466291
284	0.1141311828
285	0.1141192975
286	0.1141059858
287	0.1140940493
288	0.1140802598
289	0.1140632094
290	0.1140507092
291	0.1140299952
292	0.1140161263
293	0.1140038019
294	0.1139878786
295	0.1139789618
296	0.1139587144
297	0.1139476166
298	0.1139381661
299	0.1139198051
300	0.1139111189
301	0.113898861
302	0.1138856833
303	0.1138731045
304	0.1138571252
305	0.113850088
306	0.1138375874
307	0.1138174998
308	0.1137935034
309	0.1137748639
310	0.1137647031
311	0.113753297
312	0.1137379991
313	0.1137288923
314	0.1137209758
315	0.1137038986
316	0.113689973
317	0.1136755453
318	0.1136645574
319	0.1136552842
320	0.1136380527
321	0.1136265268
