iter	Logloss
0	0.6116180576
5	0.3560585294
10	0.2388823989
15	0.1845805662
20	0.1573425917
25	0.1428780758
30	0.1349640037
35	0.1301566182
40	0.1271588452
45	0.1252230636
50	0.1240516388
55	0.1229474436
60	0.1221104518
65	0.12148926
70	0.1209050874
75	0.1204390538
80	0.1200582333
85	0.1196924595
90	0.1193464361
95	0.1190410572
100	0.1187208265
105	0.1184717624
110	0.1182373683
115	0.1179804691
120	0.1177282475
125	0.1175144745
130	0.1173098621
135	0.1171219206
140	0.1169897872
145	0.1168502215
150	0.1166987014
155	0.1165617344
160	0.1164327066
165	0.1163127873
170	0.1161978577
175	0.1160827851
180	0.1159955061
185	0.1159152828
190	0.1157953635
195	0.1157338902
200	0.1156613721
205	0.1155787449
210	0.1154902055
215	0.1154073184
220	0.1153390883
225	0.115256708
230	0.115173587
235	0.1151264587
240	0.1150674282
245	0.1150063446
250	0.1149525375
255	0.1148986914
260	0.1148382835
265	0.1147839177
270	0.1147554874
275	0.114689882
280	0.1146554486
285	0.1146102044
290	0.1145714181
295	0.1145229644
300	0.1144899473
305	0.1144555529
310	0.1144098409
315	0.114363895
320	0.1143362573
325	0.1142993551
330	0.1142624399
335	0.1142152466
340	0.1141903376
345	0.1141472894
350	0.1141053326
355	0.1140876221
360	0.1140576975
365	0.1140295271
370	0.1139926249
375	0.1139493947
380	0.1139250704
385	0.1138886489
390	0.1138584905
395	0.1138246937
400	0.1137956917
405	0.1137588674
410	0.1137333477
415	0.1136868951
420	0.1136697174
425	0.1136380127
430	0.1136119602
435	0.1135918069
440	0.1135764873
445	0.1135415861
450	0.1135000971
455	0.1134731221
460	0.1134494605
465	0.1134242786
470	0.1133992007
475	0.1133724596
480	0.113348694
485	0.1133295282
490	0.1133015397
495	0.1132892736
500	0.1132676131
505	0.1132499286
510	0.1132197181
515	0.1132040607
520	0.113184648
525	0.1131501237
530	0.1131291907
535	0.1131158072
540	0.1130983306
545	0.1130738634
550	0.1130412231
555	0.1130231358
560	0.1130069846
565	0.1129856619
570	0.1129652487
575	0.1129460829
580	0.1129321277
585	0.1129089858
590	0.1128785675
595	0.1128612468
600	0.1128398071
605	0.1128183415
610	0.1127884429
615	0.1127624424
620	0.1127419123
625	0.1127269695
630	0.1126961743
635	0.112678217
640	0.1126587653
645	0.1126424842
650	0.1126297373
655	0.112607531
660	0.1125848309
665	0.1125714994
670	0.1125506444
675	0.1125358315
680	0.1125179262
685	0.1125055821
690	0.1124931341
695	0.112480803
700	0.1124557251
705	0.1124350521
710	0.1124162112
715	0.1124025677
720	0.1123935371
725	0.1123698235
730	0.112347981
735	0.1123364036
740	0.112318927
745	0.1122986568
750	0.1122801537
755	0.1122627031
760	0.1122538414
765	0.1122391974
770	0.112223358
775	0.1122065312
780	0.1121899641
785	0.112157025
790	0.1121411077
795	0.1121276721
800	0.1121187584
805	0.1121020225
810	0.112090497
815	0.1120727216
820	0.1120544394
825	0.1120370928
830	0.1120203828
835	0.1120111443
840	0.1120021786
845	0.1119875216
850	0.1119704739
855	0.1119578959
860	0.1119447852
865	0.1119295306
870	0.1119170306
875	0.1118945384
880	0.1118838966
885	0.1118638472
890	0.1118397568
895	0.1118151857
900	0.1118045048
905	0.1117882886
910	0.1117697855
915	0.1117600662
920	0.1117530756
925	0.1117325714
930	0.1117086889
935	0.1116923948
940	0.1116769063
945	0.1116655887
950	0.1116550378
955	0.1116439022
960	0.111623437
965	0.111611002
970	0.1115956694
975	0.1115700197
980	0.1115618597
985	0.1115437334
990	0.1115253602
995	0.1115157059
999	0.1115066493
