iter	Passed	Remaining
0	465	465477
1	634	316377
2	808	268728
3	989	246452
4	1173	233438
5	1361	225607
6	1530	217172
7	1705	211448
8	1875	206481
9	2043	202276
10	2216	199315
11	2377	195786
12	2547	193419
13	2718	191454
14	2878	189036
15	3067	188669
16	3227	186641
17	3403	185673
18	3569	184317
19	3739	183249
20	3928	183142
21	4095	182082
22	4276	181648
23	4461	181451
24	4647	181260
25	4827	180857
26	4987	179750
27	5150	178786
28	5334	178616
29	5503	177934
30	5673	177335
31	5837	176576
32	6012	176173
33	6180	175588
34	6370	175653
35	6549	175379
36	6712	174693
37	6881	174203
38	7044	173581
39	7216	173187
40	7393	172945
41	7552	172262
42	7725	171946
43	7886	171361
44	8051	170867
45	8233	170753
46	8389	170106
47	8553	169643
48	8718	169213
49	8886	168847
50	9058	168561
51	9222	168133
52	9407	168094
53	9590	168013
54	9761	167715
55	9949	167712
56	10102	167137
57	10262	166669
58	10442	166553
59	10620	166380
60	10801	166266
61	10974	166035
62	11147	165795
63	11318	165535
64	11498	165397
65	11642	164756
66	11806	164407
67	11974	164121
68	12146	163888
69	12314	163607
70	12498	163534
71	12668	163279
72	12832	162950
73	13011	162816
74	13175	162491
75	13368	162531
76	13548	162406
77	13720	162185
78	13902	162082
79	14073	161849
80	14253	161714
81	14418	161418
82	14596	161269
83	14770	161064
84	14931	160730
85	15131	160819
86	15292	160478
87	15479	160420
88	15642	160112
89	15814	159901
90	15995	159784
91	16150	159399
92	16329	159255
93	16506	159094
94	16675	158854
95	16867	158834
96	17032	158559
97	17210	158409
98	17389	158264
99	17559	158036
100	17762	158106
101	17926	157823
102	18119	157801
103	18297	157637
104	18470	157440
105	18655	157341
106	18814	157021
107	18995	156885
108	19165	156666
109	19341	156486
110	19540	156502
111	19717	156333
112	19889	156121
113	20047	155808
114	20235	155728
115	20420	155618
116	20579	155314
117	20756	155143
118	20913	154830
119	21075	154556
120	21261	154450
121	21423	154176
122	21581	153877
123	21744	153611
124	21918	153428
125	22106	153338
126	22279	153148
127	22438	152859
128	22615	152699
129	22790	152519
130	22966	152347
131	23130	152098
132	23273	151716
133	23463	151636
134	23638	151462
135	23814	151291
136	23982	151073
137	24149	150845
138	24311	150590
139	24470	150316
140	24656	150214
141	24820	149974
142	24981	149713
143	25142	149459
144	25300	149187
145	25489	149095
146	25622	148678
147	25779	148408
148	25956	148250
149	26129	148067
150	26315	147960
151	26479	147728
152	26623	147385
153	26784	147140
154	26947	146909
155	27118	146716
156	27284	146500
157	27457	146322
158	27629	146141
159	27793	145915
160	27963	145722
161	28121	145470
162	28296	145301
163	28468	145121
164	28632	144899
165	28816	144779
166	28972	144513
167	29140	144312
168	29319	144167
169	29495	144006
170	29662	143802
171	29816	143536
172	29989	143361
173	30163	143190
174	30324	142958
175	30498	142787
176	30657	142550
177	30817	142316
178	30981	142099
179	31139	141855
180	31338	141804
181	31498	141570
182	31669	141388
183	31852	141256
184	32022	141072
185	32199	140914
186	32360	140688
187	32523	140473
188	32693	140288
189	32849	140043
190	33027	139892
191	33191	139682
192	33373	139546
193	33544	139363
194	33697	139112
195	33868	138929
196	34024	138689
197	34179	138442
198	34338	138215
199	34497	137988
200	34676	137844
201	34828	137589
202	35002	137421
203	35159	137190
204	35292	136864
205	35463	136689
206	35621	136461
207	35782	136249
208	35935	136003
209	36089	135763
210	36258	135581
211	36416	135357
212	36572	135129
213	36726	134892
214	36886	134679
215	37050	134481
216	37214	134282
217	37370	134053
218	37530	133841
219	37685	133613
220	37873	133498
221	38032	133285
222	38173	133006
223	38329	132784
224	38514	132660
225	38693	132517
226	38852	132305
227	39038	132183
228	39200	131981
229	39363	131782
230	39543	131641
231	39705	131438
232	39867	131237
233	40045	131090
234	40209	130895
235	40397	130776
236	40553	130559
237	40732	130412
238	40918	130288
239	41075	130073
240	41257	129936
241	41421	129740
242	41580	129533
243	41764	129400
244	41927	129203
245	42096	129027
246	42251	128805
247	42429	128658
248	42607	128506
249	42751	128254
250	42929	128104
251	43107	127955
252	43269	127756
253	43435	127569
254	43617	127430
255	43792	127270
256	43967	127112
257	44138	126940
258	44297	126736
259	44466	126559
260	44638	126391
261	44801	126197
262	44986	126063
263	45157	125893
264	45322	125705
265	45496	125542
266	45659	125348
267	45819	125150
268	45989	124976
269	46154	124787
270	46338	124651
271	46514	124493
272	46671	124285
273	46831	124087
274	47000	123909
275	47171	123740
276	47338	123558
277	47501	123367
278	47658	123160
279	47791	122892
280	47956	122706
281	48128	122540
282	48318	122418
283	48486	122239
284	48654	122064
285	48833	121913
286	48993	121715
287	49159	121533
288	49328	121359
289	49493	121174
290	49665	121005
291	49828	120815
292	50010	120673
293	50183	120509
294	50361	120354
295	50552	120231
296	50719	120054
297	50876	119849
298	51047	119680
299	51214	119500
300	51401	119367
301	51556	119161
302	51717	118967
303	51890	118802
304	52053	118613
305	52230	118457
306	52390	118262
307	52563	118097
308	52718	117891
309	52897	117738
310	53077	117590
311	53233	117387
312	53402	117211
313	53571	117039
314	53743	116869
315	53922	116719
316	54089	116539
317	54247	116341
318	54423	116183
319	54581	115985
320	54770	115854
321	54924	115648
322	55092	115472
323	55250	115275
324	55420	115104
325	55602	114956
326	55761	114763
327	55877	114480
328	56038	114291
329	56212	114128
330	56382	113958
331	56541	113763
332	56696	113563
333	56852	113364
334	57020	113189
335	57171	112982
336	57326	112782
337	57489	112598
338	57646	112402
339	57813	112225
340	58004	112095
341	58130	111841
342	58297	111665
343	58455	111473
344	58608	111270
345	58787	111118
346	58938	110913
347	59105	110737
348	59267	110553
349	59449	110405
350	59617	110233
351	59767	110026
352	59950	109880
353	60122	109715
354	60285	109532
355	60468	109387
356	60620	109185
357	60796	109026
358	60982	108885
359	61149	108709
360	61329	108557
361	61488	108369
362	61651	108187
363	61832	108037
364	62004	107871
365	62192	107732
366	62349	107539
367	62508	107351
368	62671	107169
369	62783	106901
370	62959	106743
371	63125	106566
372	63285	106380
373	63459	106218
374	63638	106064
375	63780	105848
376	63938	105660
377	64116	105503
378	64278	105321
379	64445	105148
380	64572	104909
381	64709	104687
382	64903	104556
383	65075	104392
384	65240	104215
385	65418	104059
386	65577	103873
387	65751	103711
388	65914	103531
389	66075	103349
390	66246	103181
391	66397	102984
392	66564	102810
393	66731	102637
394	66898	102465
395	67071	102300
396	67237	102126
397	67398	101945
398	67557	101759
399	67719	101578
400	67899	101426
401	68058	101240
402	68215	101053
403	68383	100883
404	68545	100702
405	68725	100548
406	68882	100361
407	69039	100174
408	69207	100003
409	69366	99819
410	69557	99681
411	69716	99498
412	69882	99324
413	70062	99171
414	70229	98997
415	70433	98877
416	70603	98709
417	70770	98537
418	70942	98370
419	71106	98195
420	71279	98030
421	71433	97840
422	71612	97684
423	71779	97511
424	71957	97354
425	72128	97187
426	72291	97009
427	72450	96826
428	72616	96652
429	72786	96484
430	72958	96318
431	73114	96131
432	73281	95959
433	73452	95793
434	73589	95581
435	73763	95418
436	73914	95225
437	74074	95045
438	74255	94891
439	74430	94729
440	74621	94587
