iter	Passed	Remaining
0	482	482380
1	737	368159
2	1018	338322
3	1283	319649
4	1545	307470
5	1818	301325
6	2085	295841
7	2336	289711
8	2582	284390
9	2829	280072
10	3095	278348
11	3346	275492
12	3607	273922
13	3872	272718
14	4123	270781
15	4395	270302
16	4646	268668
17	4903	267502
18	5162	266550
19	5424	265810
20	5709	266187
21	5966	265237
22	6228	264571
23	6479	263519
24	6738	262795
25	7015	262826
26	7273	262125
27	7530	261417
28	7793	260944
29	8060	260636
30	8340	260695
31	8582	259630
32	8861	259662
33	9125	259260
34	9387	258832
35	9679	259185
36	9936	258614
37	10208	258445
38	10468	257965
39	10718	257248
40	11001	257337
41	11254	256704
42	11503	256012
43	11754	255386
44	12012	254923
45	12281	254715
46	12541	254304
47	12813	254138
48	13103	254313
49	13359	253835
50	13634	253709
51	13882	253091
52	14138	252621
53	14405	252362
54	14667	252016
55	14946	251952
56	15197	251426
57	15460	251104
58	15732	250924
59	16002	250704
60	16283	250666
61	16544	250308
62	16827	250277
63	17093	249985
64	17352	249610
65	17634	249557
66	17898	249242
67	18155	248834
68	18400	248273
69	18670	248049
70	18947	247923
71	19216	247678
72	19503	247669
73	19764	247319
74	20027	247011
75	20305	246876
76	20552	246358
77	20814	246036
78	21059	245520
79	21315	245131
80	21577	244813
81	21828	244376
82	22080	243947
83	22348	243710
84	22597	243259
85	22861	242968
86	23104	242462
87	23353	242025
88	23614	241714
89	23772	240370
90	24050	240241
91	24301	239842
92	24581	239738
93	24839	239405
94	25092	239037
95	25362	238831
96	25630	238605
97	25889	238291
98	26149	237985
99	26412	237716
100	26705	237703
101	26958	237343
102	27216	237022
103	27475	236714
104	27729	236361
105	27995	236109
106	28233	235631
107	28489	235301
108	28750	235018
109	29010	234718
110	29291	234592
111	29538	234201
112	29805	233958
113	30054	233577
114	30316	233302
115	30542	232752
116	30791	232382
117	31056	232132
118	31298	231714
119	31559	231433
120	31825	231194
121	32079	230870
122	32338	230574
123	32588	230223
124	32797	229580
125	33054	229285
126	33268	228685
127	33521	228366
128	33766	227987
129	34025	227708
130	34285	227437
131	34530	227066
132	34797	226836
133	35054	226545
134	35334	226400
135	35626	226332
136	35829	225700
137	36076	225348
138	36324	225003
139	36576	224683
140	36853	224517
141	37102	224181
142	37364	223926
143	37636	223727
144	37854	223210
145	38127	223021
146	38377	222693
147	38641	222451
148	38915	222259
149	39172	221980
150	39449	221808
151	39699	221481
152	39943	221127
153	40206	220876
154	40450	220520
155	40715	220279
156	40957	219916
157	41203	219580
158	41457	219283
159	41695	218903
160	41963	218679
161	42207	218330
162	42475	218108
163	42727	217805
164	42995	217583
165	43265	217371
166	43515	217053
167	43788	216855
168	44045	216577
169	44308	216328
170	44571	216078
171	44813	215728
172	45065	215430
173	45337	215222
174	45592	214934
175	45866	214739
176	46132	214505
177	46394	214247
178	46649	213960
179	46853	213443
180	47121	213216
181	47365	212886
182	47634	212661
183	47879	212334
184	48132	212041
185	48397	211805
186	48607	211325
187	48852	211001
188	49104	210709
189	49351	210391
190	49616	210153
191	49858	209822
192	50115	209549
193	50373	209283
194	50629	209009
195	50883	208725
196	51131	208419
197	51385	208136
198	51654	207914
199	51924	207699
200	52162	207353
201	52406	207032
202	52653	206722
203	52926	206516
204	53096	205910
205	53376	205731
206	53581	205266
207	53795	204837
208	53967	204251
209	54243	204058
210	54516	203855
211	54770	203580
212	55019	203286
213	55283	203049
214	55489	202599
215	55756	202374
216	55972	201965
217	56225	201690
218	56486	201441
219	56731	201139
220	56993	200896
221	57257	200657
222	57519	200415
223	57786	200188
224	58049	199947
225	58319	199731
226	58575	199465
227	58818	199156
228	59069	198877
229	59312	198566
230	59595	198392
231	59834	198073
232	60090	197807
233	60344	197536
234	60605	197289
235	60887	197110
236	61136	196824
237	61385	196537
238	61640	196271
239	61897	196009
240	62119	195637
241	62365	195344
242	62617	195068
243	62892	194865
244	63145	194591
245	63407	194347
246	63662	194079
247	63926	193842
248	64196	193620
249	64468	193404
250	64734	193171
251	64987	192899
252	65239	192625
253	65511	192408
254	65760	192124
255	66044	191940
256	66295	191662
257	66560	191425
258	66808	191138
259	67072	190898
260	67342	190675
261	67598	190411
262	67827	190071
263	68090	189827
264	68347	189567
265	68619	189348
266	68881	189102
267	69139	188843
268	69382	188544
269	69651	188316
270	69845	187887
271	70099	187620
272	70316	187252
273	70525	186867
274	70769	186573
275	70996	186237
276	71241	185948
277	71507	185713
278	71758	185440
279	72028	185215
280	72296	184986
281	72549	184717
282	72816	184484
283	73022	184099
284	73289	183867
285	73578	183690
286	73838	183438
287	74080	183143
288	74295	182783
289	74548	182515
290	74814	182280
291	75063	182002
292	75296	181687
293	75553	181430
294	75808	181170
295	76097	180987
296	76347	180715
297	76600	180447
298	76861	180200
299	77070	179832
300	77333	179588
301	77503	179130
302	77768	178893
303	78018	178621
304	78226	178253
305	78449	177921
306	78661	177565
307	78915	177304
308	79160	177021
309	79411	176755
310	79670	176504
311	79927	176250
312	80185	175998
313	80403	175658
314	80666	175417
315	80928	175173
316	81178	174905
317	81440	174661
318	81648	174302
319	81909	174058
320	82176	173824
321	82381	173462
322	82653	173239
323	82913	172993
324	83186	172771
325	83456	172544
326	83703	172270
327	83981	172058
328	84237	171802
329	84487	171534
330	84764	171321
331	85010	171045
332	85263	170783
333	85517	170522
334	85772	170264
335	86038	170028
336	86301	169786
337	86552	169520
338	86810	169267
339	87068	169015
340	87345	168800
341	87602	168544
342	87820	168215
343	88062	167933
344	88321	167682
345	88589	167448
346	88844	167192
347	89101	166938
348	89362	166690
349	89620	166438
350	89883	166194
351	90048	165771
352	90266	165446
353	90518	165182
354	90780	164939
355	91035	164681
356	91279	164405
357	91492	164073
358	91706	163742
359	91970	163503
360	92251	163292
361	92507	163038
362	92766	162788
363	93036	162558
364	93284	162288
365	93557	162063
366	93803	161791
367	94059	161537
368	94312	161276
369	94555	161000
370	94820	160759
371	95029	160426
372	95236	160089
373	95503	159852
374	95723	159538
375	95948	159232
376	96196	158965
377	96449	158707
378	96706	158455
379	96959	158196
380	97184	157892
381	97333	157466
382	97595	157223
383	97844	156959
384	98095	156698
