iter	Logloss
0	0.6112017633
5	0.3524386029
10	0.2366292594
15	0.1818167102
20	0.154714432
25	0.1401895408
30	0.1319944008
35	0.1272569269
40	0.1243436403
45	0.1223403162
50	0.1209748365
55	0.1199720107
60	0.1191803309
65	0.1185136153
70	0.1180499388
75	0.1174810031
80	0.1170607509
85	0.11658681
90	0.1162483331
95	0.1158765394
100	0.1155478954
105	0.1152403686
110	0.1149900871
115	0.1147233041
120	0.1144992655
125	0.1143047909
130	0.114116972
135	0.1138893375
140	0.1137535336
145	0.1136017511
150	0.1134718835
155	0.1133470762
160	0.1131918026
165	0.113047421
170	0.11292077
175	0.1128083846
180	0.1126938547
185	0.1126025734
190	0.1125244463
195	0.1124334527
200	0.1123537956
205	0.1122698367
210	0.1121719392
215	0.1121002322
220	0.1120228895
225	0.1119500973
230	0.1118814892
235	0.1118194582
240	0.1117717974
245	0.1117084849
250	0.1116345028
255	0.1115542312
260	0.1114901996
265	0.1114115756
270	0.1113398294
275	0.1113218503
280	0.1112650627
285	0.1112137799
290	0.1111509512
295	0.1111052125
300	0.1110603368
305	0.1110154219
310	0.1109614586
315	0.110915393
320	0.110876349
325	0.1108418161
330	0.1107929523
335	0.1107568896
340	0.1106958785
345	0.1106485184
350	0.1105949343
355	0.1105556681
360	0.1105177748
365	0.1104788223
370	0.1104504089
375	0.1104251859
380	0.1103957526
385	0.1103701373
390	0.1103321656
395	0.1103110745
400	0.1102809743
405	0.1102544045
410	0.1102169296
415	0.1101932234
420	0.1101752052
425	0.1101536172
430	0.1101123504
435	0.1100864213
440	0.1100669124
445	0.1100321703
450	0.1099932179
455	0.1099558215
460	0.1099315792
465	0.1099033619
470	0.1098537658
475	0.1098190368
480	0.1097898912
485	0.1097625761
490	0.1097378238
495	0.1097144314
500	0.1096850112
505	0.1096661038
510	0.1096269683
515	0.109612317
520	0.1095792878
525	0.1095533914
530	0.1095417737
535	0.1095165115
540	0.1094981075
545	0.1094784221
550	0.1094471189
555	0.1094313235
560	0.1094046033
565	0.1093887491
570	0.109370417
575	0.1093539874
580	0.1093326348
585	0.1093079872
590	0.1092803321
595	0.1092540565
600	0.1092370255
605	0.1092195629
610	0.1091896523
615	0.1091787864
620	0.1091638279
625	0.1091484835
630	0.1091357086
635	0.1091113029
640	0.1090852823
645	0.1090670613
650	0.1090469902
655	0.1090261671
660	0.1090120846
665	0.1089995581
670	0.1089755774
675	0.1089578141
680	0.1089416787
685	0.1089208753
690	0.1089027982
695	0.1088735479
700	0.108847658
705	0.1088316273
710	0.1088125695
715	0.1087981339
720	0.1087858036
725	0.1087658435
730	0.1087435364
735	0.1087369332
740	0.108717882
745	0.1087010863
750	0.1086873503
755	0.1086769159
760	0.1086624215
765	0.1086514706
770	0.1086273656
775	0.1086188206
780	0.1085986841
785	0.1085880144
790	0.1085697999
795	0.1085512913
800	0.1085356986
805	0.1085229433
810	0.1085079389
815	0.108504402
820	0.1084839385
825	0.1084708825
830	0.1084551851
835	0.1084443781
840	0.1084345909
845	0.1084152128
850	0.1083969853
855	0.1083754693
860	0.1083537048
865	0.1083408579
870	0.10832773
875	0.1083078942
880	0.1083006437
885	0.1082865612
890	0.1082736294
895	0.1082639664
900	0.1082479618
905	0.1082429473
910	0.1082229938
915	0.1082009548
920	0.1081894155
925	0.1081685663
930	0.1081552226
935	0.1081404275
940	0.1081274041
945	0.1081089609
950	0.108100782
955	0.10808566
960	0.1080623722
965	0.1080502445
970	0.1080314875
975	0.1080165877
980	0.1080057742
985	0.1079928619
990	0.1079817738
995	0.1079705614
999	0.1079626637
