iter	Passed	Remaining
0	412	411958
1	634	316669
2	877	291527
3	1096	273051
4	1345	267685
5	1583	262377
6	1817	257763
7	2018	250351
8	2251	247875
9	2457	243307
10	2697	242529
11	2902	238997
12	3129	237605
13	3342	235417
14	3559	233722
15	3790	233143
16	3997	231168
17	4228	230664
18	4446	229602
19	4665	228589
20	4892	228087
21	5117	227502
22	5348	227188
23	5557	226008
24	5765	224865
25	5991	224458
26	6201	223479
27	6413	222654
28	6634	222143
29	6851	221532
30	7074	221148
31	7278	220170
32	7499	219749
33	7724	219463
34	7937	218852
35	8174	218907
36	8379	218099
37	8604	217834
38	8826	217487
39	9030	216726
40	9262	216649
41	9462	215834
42	9684	215536
43	9897	215044
44	10109	214538
45	10337	214391
46	10561	214148
47	10784	213897
48	11020	213894
49	11235	213480
50	11456	213176
51	11670	212756
52	11898	212593
53	12115	212250
54	12344	212096
55	12571	211915
56	12781	211456
57	13000	211151
58	13209	210686
59	13432	210440
60	13655	210208
61	13872	209875
62	14093	209611
63	14312	209323
64	14525	208943
65	14742	208633
66	14941	208069
67	15160	207788
68	15394	207719
69	15610	207395
70	15835	207204
71	16051	206884
72	16279	206726
73	16490	206354
74	16697	205931
75	16927	205808
76	17134	205394
77	17340	204972
78	17562	204750
79	17747	204090
80	17985	204059
81	18193	203680
82	18413	203432
83	18642	203294
84	18876	203196
85	19108	203083
86	19325	202805
87	19535	202459
88	19741	202069
89	19945	201674
90	20185	201637
91	20406	201401
92	20612	201024
93	20837	200837
94	21053	200558
95	21284	200428
96	21498	200134
97	21732	200023
98	21958	199842
99	22185	199666
100	22404	199425
101	22610	199057
102	22834	198858
103	23039	198496
104	23266	198322
105	23505	198244
106	23716	197936
107	23937	197709
108	24158	197478
109	24377	197233
110	24597	196999
111	24808	196694
112	25024	196430
113	25251	196251
114	25476	196061
115	25660	195547
116	25868	195226
117	26076	194911
118	26287	194614
119	26503	194359
120	26720	194107
121	26940	193882
122	27153	193606
123	27337	193127
124	27564	192952
125	27792	192783
126	28006	192517
127	28223	192273
128	28434	191990
129	28651	191747
130	28878	191565
131	29086	191264
132	29292	190950
133	29506	190688
134	29713	190388
135	29945	190242
136	30150	189927
137	30372	189717
138	30592	189497
139	30804	189226
140	31026	189020
141	31224	188666
142	31441	188428
143	31661	188208
144	31802	187525
145	32043	187431
146	32257	187180
147	32483	186998
148	32701	186771
149	32909	186489
150	33134	186300
151	33343	186023
152	33480	185345
153	33713	185207
154	33885	184730
155	34105	184517
156	34308	184218
157	34526	183994
158	34757	183841
159	34972	183605
160	35201	183441
161	35413	183185
162	35648	183052
163	35856	182779
164	36078	182578
165	36303	182391
166	36512	182124
167	36690	181705
168	36909	181490
169	37133	181298
170	37363	181137
171	37583	180926
172	37793	180664
173	37991	180351
174	38202	180097
175	38427	179909
176	38633	179633
177	38860	179456
178	39086	179274
179	39270	178899
180	39503	178746
181	39713	178491
182	39937	178298
183	40144	178032
184	40371	177852
185	40609	177720
186	40819	177465
187	41047	177288
188	41269	177087
189	41487	176869
190	41719	176706
191	41928	176450
192	42137	176192
193	42363	176006
194	42580	175783
195	42810	175610
196	42979	175190
197	43178	174895
198	43392	174660
199	43607	174429
200	43806	174137
201	44011	173866
202	44230	173654
203	44445	173425
204	44653	173169
205	44898	173056
206	45104	172789
207	45324	172581
208	45466	172076
209	45689	171879
210	45909	171670
211	46116	171415
212	46331	171187
213	46551	170978
214	46762	170738
215	46975	170502
216	47147	170121
217	47349	169848
218	47560	169611
219	47785	169421
220	48006	169215
221	48208	168946
222	48444	168793
223	48661	168578
224	48871	168333
225	49093	168133
226	49302	167890
227	49525	167691
228	49676	167250
229	49886	167009
230	50121	166853
231	50329	166606
232	50551	166407
233	50767	166186
234	50980	165956
235	51197	165740
236	51402	165486
237	51625	165287
238	51845	165081
239	52026	164751
240	52218	164455
241	52420	164192
242	52637	163977
243	52866	163799
244	53087	163595
245	53309	163395
246	53520	163162
247	53734	162938
248	53962	162754
249	54177	162531
250	54404	162347
251	54579	162006
252	54796	161791
253	55015	161580
254	55240	161388
255	55404	161018
256	55637	160849
257	55867	160674
258	56090	160475
259	56300	160240
260	56549	160114
261	56748	159849
262	56983	159683
263	57198	159462
264	57403	159212
265	57624	159008
266	57826	158753
267	58033	158508
268	58241	158268
269	58466	158077
270	58615	157676
271	58822	157436
272	59043	157231
273	59191	156834
274	59397	156593
275	59592	156322
276	59798	156080
277	60023	155888
278	60242	155680
279	60476	155511
280	60705	155329
281	60918	155103
282	61123	154860
283	61346	154663
284	61566	154456
285	61776	154224
286	61987	153996
287	62184	153735
288	62357	153411
289	62557	153157
290	62782	152964
291	62986	152721
