iter	Logloss
0	0.6107964174
5	0.3519831772
10	0.2363198628
15	0.1816755452
20	0.1542302528
25	0.1398768099
30	0.1318892854
35	0.1271289552
40	0.1243400315
45	0.1223203758
50	0.1210115923
55	0.120032538
60	0.1191752314
65	0.1185274232
70	0.117948027
75	0.1173600793
80	0.1169812247
85	0.1165749504
90	0.1162181545
95	0.1158507934
100	0.1155145001
105	0.1152426176
110	0.1149784105
115	0.1147244024
120	0.1144874974
125	0.1143144669
130	0.1141186456
135	0.1139451184
140	0.1137815809
145	0.1136213908
150	0.1134692292
155	0.1133387732
160	0.1131862585
165	0.1130196744
170	0.1128986721
175	0.1127935698
180	0.1126472007
185	0.1125340177
190	0.1124554982
195	0.1123709379
200	0.1122970472
205	0.1121963514
210	0.112100206
215	0.1120176462
220	0.1119347203
225	0.1118578615
230	0.1117779037
235	0.111716278
240	0.1116600526
245	0.1115860705
250	0.1115220258
255	0.1114661665
260	0.1114036125
265	0.1113341807
270	0.1112888735
275	0.1112615714
280	0.1111987167
285	0.11112344
290	0.1110797673
295	0.1110365522
300	0.110988839
305	0.1109521225
310	0.1109161383
315	0.1108754598
320	0.1108327939
325	0.1107876959
330	0.1107513586
335	0.1107101049
340	0.1106700671
345	0.1106201704
350	0.1105702344
355	0.1105404741
360	0.1105048037
365	0.1104659559
370	0.1104384577
375	0.1104017804
380	0.1103657439
385	0.110335186
390	0.110299594
395	0.1102714683
400	0.1102372754
405	0.1102096857
410	0.1101593967
415	0.1101368673
420	0.1101138933
425	0.1100882388
430	0.1100553666
435	0.1100213306
440	0.1099994027
445	0.1099688187
450	0.109933096
455	0.1098990077
460	0.1098776682
465	0.1098422069
470	0.1097919833
475	0.1097678456
480	0.1097422565
485	0.1097081682
490	0.1096881624
495	0.1096635017
500	0.1096344606
505	0.1096133434
510	0.1095749598
515	0.109555039
520	0.1095233566
525	0.1094892487
530	0.1094718711
535	0.1094343113
540	0.1094111216
545	0.10939073
550	0.1093662328
555	0.1093437884
560	0.1093291305
565	0.1093116876
570	0.1092873276
575	0.1092692505
580	0.1092495258
585	0.1092291343
590	0.1092045782
595	0.1091737457
600	0.109158238
605	0.1091422791
610	0.109114951
615	0.1090938991
620	0.1090743118
625	0.1090601966
630	0.1090509586
635	0.109027272
640	0.109009646
645	0.1089935891
650	0.1089743025
655	0.1089633974
660	0.1089440715
665	0.1089217121
670	0.1088938413
675	0.1088715211
680	0.1088466251
685	0.1088246579
690	0.1088100524
695	0.108792616
700	0.1087699558
705	0.1087553961
710	0.1087345208
715	0.1087186338
720	0.1087006744
725	0.1086851732
730	0.108663376
735	0.1086495877
740	0.1086347926
745	0.1086122174
750	0.108595304
755	0.1085854777
760	0.1085733892
765	0.1085624645
770	0.1085410596
775	0.1085232375
780	0.1085012442
785	0.108491627
790	0.1084771522
795	0.1084560873
800	0.1084387163
805	0.1084259937
810	0.1084055237
815	0.1084019214
820	0.1083839292
825	0.108372233
830	0.1083543717
835	0.1083364972
840	0.1083170471
845	0.1083001403
850	0.1082842337
855	0.1082645679
860	0.1082452552
865	0.1082255632
870	0.108213344
875	0.1081861204
880	0.1081731101
885	0.1081631399
890	0.1081468868
895	0.108133602
900	0.1081151587
905	0.1081105757
910	0.1080960159
915	0.1080803513
920	0.1080672625
925	0.1080479432
930	0.1080366785
935	0.1080125147
940	0.1080006093
945	0.1079830094
950	0.1079743272
955	0.1079627029
960	0.1079413634
965	0.1079297522
970	0.1079150944
975	0.107906314
980	0.1078979391
985	0.107883059
990	0.1078676362
995	0.107854809
999	0.1078408115
