iter	Passed	Remaining
0	379	378787
1	534	266676
2	686	228065
3	843	210042
4	992	197583
5	1157	191728
6	1299	184290
7	1447	179490
8	1596	175816
9	1748	173068
10	1911	171830
11	2057	169415
12	2201	167166
13	2357	166042
14	2503	164390
15	2680	164868
16	2831	163736
17	3001	163744
18	3172	163822
19	3348	164072
20	3530	164604
21	3691	164114
22	3848	163469
23	4020	163508
24	4190	163421
25	4381	164138
26	4547	163878
27	4702	163259
28	4876	163263
29	5039	162932
30	5216	163069
31	5374	162574
32	5547	162552
33	5712	162298
34	5878	162080
35	6059	162251
36	6210	161652
37	6375	161403
38	6542	161209
39	6710	161053
40	6884	161033
41	7028	160324
42	7190	160039
43	7365	160030
44	7533	159883
45	7701	159718
46	7845	159084
47	7990	158472
48	8167	158522
49	8333	158345
50	8507	158314
51	8675	158152
52	8841	157984
53	9007	157791
54	9163	157453
55	9338	157417
56	9488	156973
57	9644	156634
58	9808	156442
59	9970	156198
60	10159	156394
61	10303	155883
62	10468	155692
63	10628	155447
64	10792	155242
65	10968	155219
66	11115	154781
67	11265	154401
68	11435	154295
69	11588	153959
70	11751	153761
71	11907	153480
72	12067	153243
73	12227	153003
74	12391	152829
75	12557	152678
76	12708	152335
77	12862	152037
78	13040	152031
79	13213	151949
80	13403	152072
81	13556	151767
82	13729	151689
83	13894	151512
84	14054	151297
85	14225	151187
86	14373	150837
87	14547	150766
88	14721	150686
89	14882	150481
90	15068	150523
91	15213	150149
92	15395	150151
93	15567	150047
94	15741	149955
95	15922	149941
96	16052	149437
97	16214	149235
98	16376	149040
99	16539	148856
100	16734	148955
101	16890	148698
102	17059	148565
103	17221	148366
104	17389	148224
105	17561	148113
106	17710	147804
107	17866	147565
108	18021	147314
109	18182	147111
110	18349	146959
111	18503	146704
112	18654	146433
113	18788	146024
114	18958	145899
115	19152	145957
116	19304	145688
117	19457	145438
118	19619	145250
119	19801	145210
120	19980	145148
121	20139	144937
122	20292	144688
123	20460	144544
124	20621	144349
125	20784	144174
126	20938	143928
127	21106	143789
128	21258	143539
129	21418	143337
130	21580	143157
131	21724	142857
132	21897	142742
133	22053	142525
134	22221	142384
135	22410	142370
136	22563	142130
137	22721	141929
138	22890	141789
139	23043	141555
140	23213	141421
141	23388	141316
142	23553	141155
143	23718	140992
144	23887	140855
145	24068	140782
146	24215	140513
147	24372	140306
148	24542	140171
149	24702	139982
150	24882	139902
151	25033	139658
152	25172	139356
153	25328	139140
154	25499	139015
155	25686	138969
156	25831	138699
157	26005	138587
158	26188	138520
159	26366	138421
160	26553	138375
161	26703	138134
162	26867	137964
163	27017	137724
164	27182	137558
165	27327	137296
166	27485	137100
167	27650	136934
168	27821	136802
169	27984	136630
170	28134	136392
171	28294	136206
172	28457	136036
173	28633	135928
174	28799	135771
175	28953	135556
176	29101	135316
177	29273	135182
178	29436	135013
179	29609	134887
180	29773	134719
181	29931	134529
182	30113	134441
183	30283	134300
184	30435	134079
185	30615	133986
186	30774	133797
187	30964	133738
188	31114	133513
189	31282	133362
190	31462	133261
191	31617	133058
192	31773	132856
193	31924	132634
194	32092	132482
195	32282	132423
196	32412	132119
197	32578	131958
198	32755	131843
199	32923	131694
200	33115	131636
201	33264	131412
202	33440	131291
203	33620	131185
204	33792	131048
205	33967	130924
206	34119	130707
207	34305	130626
208	34488	130528
209	34654	130365
210	34855	130336
211	35016	130157
212	35191	130028
213	35345	129818
214	35531	129732
215	35719	129648
216	35880	129467
217	36054	129334
218	36250	129277
219	36439	129194
220	36611	129050
221	36735	128740
222	36902	128579
223	37066	128410
224	37234	128252
225	37428	128184
226	37590	128007
227	37767	127880
228	37925	127688
229	38088	127514
230	38287	127459
231	38439	127247
232	38594	127047
233	38781	126950
234	38957	126818
235	39113	126621
236	39264	126409
237	39453	126317
238	39634	126198
239	39783	125980
240	39950	125819
241	40100	125602
242	40232	125333
243	40407	125197
244	40578	125047
245	40740	124870
246	40885	124642
247	41043	124454
248	41198	124258
249	41355	124065
250	41537	123950
251	41711	123809
252	41879	123653
253	42054	123514
254	42220	123349
255	42414	123267
256	42577	123092
257	42746	122937
258	42906	122754
259	43061	122558
260	43234	122414
261	43394	122233
262	43583	122132
263	43776	122042
264	43934	121856
265	44109	121716
266	44282	121568
267	44431	121358
268	44619	121251
269	44785	121086
270	44994	121036
271	45150	120845
272	45324	120698
273	45497	120550
274	45671	120406
275	45875	120340
276	46038	120165
277	46207	120005
278	46387	119877
279	46551	119703
280	46740	119595
281	46894	119397
282	47054	119215
283	47233	119082
284	47390	118891
285	47585	118796
286	47740	118603
287	47904	118429
288	48070	118262
289	48253	118138
290	48432	118002
291	48593	117821
292	48751	117636
293	48899	117426
294	49073	117276
295	49260	117161
296	49412	116959
297	49572	116779
298	49763	116668
299	49926	116495
300	50102	116351
301	50251	116144
302	50430	116006
303	50598	115843
304	50758	115662
305	50936	115522
306	51080	115304
307	51240	115123
308	51395	114933
309	51560	114764
310	51721	114584
311	51894	114433
312	52061	114268
313	52219	114084
314	52393	113934
315	52573	113799
316	52744	113642
317	52916	113487
318	53084	113324
319	53275	113210
320	53450	113062
321	53598	112857
322	53773	112708
323	53932	112525
324	54087	112335
325	54275	112213
326	54439	112041
327	54550	111761
328	54708	111577
329	54873	111409
330	55044	111252
331	55192	111049
332	55357	110880
333	55522	110711
334	55690	110548
335	55835	110342
336	55986	110145
337	56145	109965
338	56293	109763
339	56444	109568
340	56637	109454
341	56799	109280
342	56967	109117
343	57126	108938
344	57254	108700
345	57421	108536
346	57575	108347
347	57750	108200
348	57911	108023
349	58067	107839
350	58235	107677
351	58393	107496
352	58553	107319
353	58698	107116
354	58860	106944
355	59035	106793
356	59180	106591
357	59344	106421
358	59504	106246
359	59671	106082
360	59866	105969
361	60021	105783
362	60174	105596
363	60351	105448
364	60520	105289
365	60697	105143
366	60841	104938
367	60999	104760
368	61153	104573
369	61290	104359
370	61476	104228
371	61638	104056
372	61791	103869
373	61947	103687
374	62115	103525
375	62274	103349
376	62426	103160
377	62599	103006
378	62762	102837
379	62938	102689
380	63067	102464
381	63227	102289
382	63394	102126
383	63572	101981
384	63758	101848
385	63926	101685
386	64084	101508
387	64215	101288
388	64376	101116
389	64530	100931
390	64711	100791
391	64861	100602
392	65016	100420
393	65176	100246
394	65339	100077
395	65504	99910
396	65638	99697
397	65819	99556
398	65984	99389
399	66151	99227
400	66321	99068
401	66469	98876
402	66625	98697
403	66786	98526
404	66960	98374
405	67134	98220
406	67287	98037
407	67442	97857
408	67594	97673
409	67739	97478
410	67903	97311
411	68054	97126
412	68216	96956
413	68378	96786
414	68535	96610
415	68722	96476
416	68883	96304
417	69029	96112
418	69185	95934
419	69337	95751
420	69450	95514
421	69595	95323
422	69764	95163
423	69907	94969
424	70075	94807
425	70238	94640
426	70391	94459
427	70536	94268
428	70690	94089
429	70860	93931
430	71070	93826
431	71215	93634
432	71365	93450
433	71522	93276
434	71678	93099
435	71838	92928
436	71996	92755
437	72151	92578
438	72314	92410
439	72473	92238
440	72630	92064
441	72780	91880
442	72944	91716
443	73106	91548
444	73258	91367
445	73420	91198
